query_date,doc_name,doc_type,operation,page_number,prompt_tokens,completion_tokens,total_tokens,model_id
7/30/2025 20:46,Giuliani SSP MSA,MSA,extraction,2,1521,815,2336,likely gpt-4.1-mini
7/30/2025 20:46,Giuliani SSP MSA,MSA,extraction,3,1521,884,2405,likely gpt-4.1-mini
7/30/2025 20:46,Giuliani SSP MSA,MSA,extraction,4,1521,885,2406,likely gpt-4.1-mini
7/30/2025 20:46,Giuliani SSP MSA,MSA,extraction,5,1521,904,2425,likely gpt-4.1-mini
7/30/2025 20:46,Giuliani SSP MSA,MSA,extraction,6,1521,752,2273,likely gpt-4.1-mini
7/30/2025 20:46,Giuliani SSP MSA,MSA,extraction,7,1521,790,2311,likely gpt-4.1-mini
7/30/2025 20:46,Giuliani SSP MSA,MSA,extraction,8,1521,867,2388,likely gpt-4.1-mini
7/30/2025 20:46,Giuliani SSP MSA,MSA,extraction,9,1521,785,2306,likely gpt-4.1-mini
7/30/2025 20:46,Giuliani SSP MSA,MSA,extraction,10,1521,807,2328,likely gpt-4.1-mini
7/30/2025 20:46,doc_name,doc_type,chunking,1,8635,6000,14635,likely gpt-4.1-mini
7/30/2025 20:46,Hengli SSP MSA,MSA,extraction,1,1521,669,2190,likely gpt-4.1-mini
7/30/2025 20:46,Hengli SSP MSA,MSA,extraction,2,1521,799,2320,likely gpt-4.1-mini
7/30/2025 20:46,Hengli SSP MSA,MSA,extraction,3,1521,551,2072,likely gpt-4.1-mini
7/30/2025 20:46,Hengli SSP MSA,MSA,extraction,4,1521,715,2236,likely gpt-4.1-mini
7/30/2025 20:46,Hengli SSP MSA,MSA,extraction,5,1521,676,2197,likely gpt-4.1-mini
7/30/2025 20:46,Hengli SSP MSA,MSA,extraction,6,1521,870,2391,likely gpt-4.1-mini
7/30/2025 20:46,Hengli SSP MSA,MSA,extraction,7,1521,819,2340,likely gpt-4.1-mini
7/30/2025 20:46,Hengli SSP MSA,MSA,extraction,8,1521,848,2369,likely gpt-4.1-mini
7/30/2025 20:46,Hengli SSP MSA,MSA,extraction,9,1521,655,2176,likely gpt-4.1-mini
7/30/2025 20:46,Hengli SSP MSA,MSA,extraction,10,1521,823,2344,likely gpt-4.1-mini
7/31/2025 21:34,Hengli SSP MSA,MSA,extraction,1,1521,672,2193,likely gpt-4.1-mini
7/31/2025 21:34,Hengli SSP MSA,MSA,extraction,2,1521,801,2322,likely gpt-4.1-mini
